"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Accomack County, VA"	"51001"	"2018"	"2018"	Suppressed	32412	Suppressed
	"Accomack County, VA"	"51001"	"2019"	"2019"	Suppressed	32316	Suppressed
	"Accomack County, VA"	"51001"	"2020"	"2020"	Suppressed	32238	Suppressed
	"Accomack County, VA"	"51001"	"2021 "	"2021"	13	33246	Unreliable
	"Albemarle County, VA"	"51003"	"2018"	"2018"	Suppressed	108718	Suppressed
	"Albemarle County, VA"	"51003"	"2019"	"2019"	11	109330	Unreliable
	"Albemarle County, VA"	"51003"	"2020"	"2020"	12	110652	Unreliable
	"Albemarle County, VA"	"51003"	"2021 "	"2021"	17	113535	Unreliable
	"Alleghany County, VA"	"51005"	"2018"	"2018"	Suppressed	14910	Suppressed
	"Alleghany County, VA"	"51005"	"2019"	"2019"	Suppressed	14860	Suppressed
	"Alleghany County, VA"	"51005"	"2020"	"2020"	Suppressed	14701	Suppressed
	"Alleghany County, VA"	"51005"	"2021 "	"2021"	Suppressed	14986	Suppressed
	"Amelia County, VA"	"51007"	"2018"	"2018"	Suppressed	13013	Suppressed
	"Amelia County, VA"	"51007"	"2019"	"2019"	Suppressed	13145	Suppressed
	"Amelia County, VA"	"51007"	"2020"	"2020"	Suppressed	13014	Suppressed
	"Amelia County, VA"	"51007"	"2021 "	"2021"	Suppressed	13268	Suppressed
	"Amherst County, VA"	"51009"	"2018"	"2018"	Suppressed	31666	Suppressed
	"Amherst County, VA"	"51009"	"2019"	"2019"	Suppressed	31605	Suppressed
	"Amherst County, VA"	"51009"	"2020"	"2020"	10	31667	Unreliable
	"Amherst County, VA"	"51009"	"2021 "	"2021"	12	31273	Unreliable
	"Appomattox County, VA"	"51011"	"2018"	"2018"	Suppressed	15841	Suppressed
	"Appomattox County, VA"	"51011"	"2019"	"2019"	Suppressed	15911	Suppressed
	"Appomattox County, VA"	"51011"	"2020"	"2020"	Suppressed	16043	Suppressed
	"Appomattox County, VA"	"51011"	"2021 "	"2021"	Suppressed	16353	Suppressed
	"Arlington County, VA"	"51013"	"2018"	"2018"	12	237521	Unreliable
	"Arlington County, VA"	"51013"	"2019"	"2019"	19	236842	Unreliable
	"Arlington County, VA"	"51013"	"2020"	"2020"	38	240119	15.8
	"Arlington County, VA"	"51013"	"2021 "	"2021"	28	232965	12.0
	"Augusta County, VA"	"51015"	"2018"	"2018"	12	75457	Unreliable
