"Notes"	"Occurrence County"	"Occurrence County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Barbour County, WV"	"54001"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, WV"	"54001"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2018"	"2018"	74	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2019"	"2019"	63	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2020"	"2020"	113	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2021"	"2021"	98	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2022 (provisional)"	"2022"	93	Not Applicable	Not Applicable
	"Berkeley County, WV"	"54003"	"2023 (provisional and partial)"	"2023"	24	Not Applicable	Not Applicable
	"Boone County, WV"	"54005"	"2018"	"2018"	16	Not Applicable	Not Applicable
	"Boone County, WV"	"54005"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Boone County, WV"	"54005"	"2020"	"2020"	19	Not Applicable	Not Applicable
	"Boone County, WV"	"54005"	"2021"	"2021"	18	Not Applicable	Not Applicable
	"Boone County, WV"	"54005"	"2022 (provisional)"	"2022"	20	Not Applicable	Not Applicable
	"Boone County, WV"	"54005"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Braxton County, WV"	"54007"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Braxton County, WV"	"54007"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Braxton County, WV"	"54007"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Braxton County, WV"	"54007"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Braxton County, WV"	"54007"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
