"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Barbour County, WV"	"54001"	"2018"	"2018"	Suppressed	16535	Suppressed
	"Barbour County, WV"	"54001"	"2019"	"2019"	Suppressed	16441	Suppressed
	"Barbour County, WV"	"54001"	"2020"	"2020"	Suppressed	16444	Suppressed
	"Barbour County, WV"	"54001"	"2021 "	"2021"	Suppressed	15468	Suppressed
	"Berkeley County, WV"	"54003"	"2018"	"2018"	68	117123	58.1
	"Berkeley County, WV"	"54003"	"2019"	"2019"	60	119171	50.3
	"Berkeley County, WV"	"54003"	"2020"	"2020"	112	122125	91.7
	"Berkeley County, WV"	"54003"	"2021 "	"2021"	92	126069	73.0
	"Boone County, WV"	"54005"	"2018"	"2018"	24	21951	109.3
	"Boone County, WV"	"54005"	"2019"	"2019"	12	21457	Unreliable
	"Boone County, WV"	"54005"	"2020"	"2020"	24	21055	114.0
	"Boone County, WV"	"54005"	"2021 "	"2021"	23	21312	107.9
	"Braxton County, WV"	"54007"	"2018"	"2018"	Suppressed	14089	Suppressed
	"Braxton County, WV"	"54007"	"2019"	"2019"	Suppressed	13957	Suppressed
	"Braxton County, WV"	"54007"	"2020"	"2020"	Suppressed	13702	Suppressed
	"Braxton County, WV"	"54007"	"2021 "	"2021"	13	12247	Unreliable
	"Brooke County, WV"	"54009"	"2018"	"2018"	Suppressed	22203	Suppressed
	"Brooke County, WV"	"54009"	"2019"	"2019"	Suppressed	21939	Suppressed
	"Brooke County, WV"	"54009"	"2020"	"2020"	12	21674	Unreliable
	"Brooke County, WV"	"54009"	"2021 "	"2021"	19	22140	Unreliable
	"Cabell County, WV"	"54011"	"2018"	"2018"	130	93224	139.4
	"Cabell County, WV"	"54011"	"2019"	"2019"	105	91945	114.2
	"Cabell County, WV"	"54011"	"2020"	"2020"	126	91589	137.6
	"Cabell County, WV"	"54011"	"2021 "	"2021"	134	93418	143.4
	"Calhoun County, WV"	"54013"	"2018"	"2018"	Suppressed	7254	Suppressed
	"Calhoun County, WV"	"54013"	"2019"	"2019"	0	7109	Unreliable
	"Calhoun County, WV"	"54013"	"2020"	"2020"	Suppressed	6945	Suppressed
	"Calhoun County, WV"	"54013"	"2021 "	"2021"	Suppressed	6176	Suppressed
	"Clay County, WV"	"54015"	"2018"	"2018"	Suppressed	8632	Suppressed
	"Clay County, WV"	"54015"	"2019"	"2019"	Suppressed	8508	Suppressed
	"Clay County, WV"	"54015"	"2020"	"2020"	Suppressed	8341	Suppressed
	"Clay County, WV"	"54015"	"2021 "	"2021"	Suppressed	7892	Suppressed
	"Doddridge County, WV"	"54017"	"2018"	"2018"	Suppressed	8406	Suppressed
	"Doddridge County, WV"	"54017"	"2019"	"2019"	Suppressed	8448	Suppressed
	"Doddridge County, WV"	"54017"	"2020"	"2020"	Suppressed	8368	Suppressed
	"Doddridge County, WV"	"54017"	"2021 "	"2021"	Suppressed	7735	Suppressed
	"Fayette County, WV"	"54019"	"2018"	"2018"	24	43018	55.8
	"Fayette County, WV"	"54019"	"2019"	"2019"	31	42406	73.1
	"Fayette County, WV"	"54019"	"2020"	"2020"	34	42062	80.8
	"Fayette County, WV"	"54019"	"2021 "	"2021"	44	39927	110.2
	"Gilmer County, WV"	"54021"	"2018"	"2018"	Suppressed	8026	Suppressed
	"Gilmer County, WV"	"54021"	"2019"	"2019"	Suppressed	7823	Suppressed
	"Gilmer County, WV"	"54021"	"2020"	"2020"	Suppressed	7811	Suppressed
	"Gilmer County, WV"	"54021"	"2021 "	"2021"	0	7377	Unreliable
	"Grant County, WV"	"54023"	"2018"	"2018"	Suppressed	11626	Suppressed
	"Grant County, WV"	"54023"	"2019"	"2019"	Suppressed	11568	Suppressed
	"Grant County, WV"	"54023"	"2020"	"2020"	Suppressed	11510	Suppressed
	"Grant County, WV"	"54023"	"2021 "	"2021"	Suppressed	10983	Suppressed
	"Greenbrier County, WV"	"54025"	"2018"	"2018"	13	34786	Unreliable
	"Greenbrier County, WV"	"54025"	"2019"	"2019"	12	34662	Unreliable
	"Greenbrier County, WV"	"54025"	"2020"	"2020"	26	34319	75.8
	"Greenbrier County, WV"	"54025"	"2021 "	"2021"	30	32608	92.0
	"Hampshire County, WV"	"54027"	"2018"	"2018"	15	23347	Unreliable
	"Hampshire County, WV"	"54027"	"2019"	"2019"	18	23175	Unreliable
	"Hampshire County, WV"	"54027"	"2020"	"2020"	17	23190	Unreliable
	"Hampshire County, WV"	"54027"	"2021 "	"2021"	14	23302	Unreliable
	"Hancock County, WV"	"54029"	"2018"	"2018"	12	29094	Unreliable
	"Hancock County, WV"	"54029"	"2019"	"2019"	22	28810	76.4
