"Notes"	"Occurrence County"	"Occurrence County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Allegany County, MD"	"24001"	"2018"	"2018"	41	Not Applicable	Not Applicable
	"Allegany County, MD"	"24001"	"2019"	"2019"	29	Not Applicable	Not Applicable
	"Allegany County, MD"	"24001"	"2020"	"2020"	54	Not Applicable	Not Applicable
	"Allegany County, MD"	"24001"	"2021"	"2021"	40	Not Applicable	Not Applicable
	"Allegany County, MD"	"24001"	"2022 (provisional)"	"2022"	39	Not Applicable	Not Applicable
	"Allegany County, MD"	"24001"	"2023 (provisional and partial)"	"2023"	19	Not Applicable	Not Applicable
	"Anne Arundel County, MD"	"24003"	"2018"	"2018"	238	Not Applicable	Not Applicable
	"Anne Arundel County, MD"	"24003"	"2019"	"2019"	207	Not Applicable	Not Applicable
	"Anne Arundel County, MD"	"24003"	"2020"	"2020"	252	Not Applicable	Not Applicable
	"Anne Arundel County, MD"	"24003"	"2021"	"2021"	233	Not Applicable	Not Applicable
	"Anne Arundel County, MD"	"24003"	"2022 (provisional)"	"2022"	182	Not Applicable	Not Applicable
	"Anne Arundel County, MD"	"24003"	"2023 (provisional and partial)"	"2023"	45	Not Applicable	Not Applicable
	"Baltimore County, MD"	"24005"	"2018"	"2018"	345	Not Applicable	Not Applicable
	"Baltimore County, MD"	"24005"	"2019"	"2019"	337	Not Applicable	Not Applicable
	"Baltimore County, MD"	"24005"	"2020"	"2020"	364	Not Applicable	Not Applicable
	"Baltimore County, MD"	"24005"	"2021"	"2021"	356	Not Applicable	Not Applicable
	"Baltimore County, MD"	"24005"	"2022 (provisional)"	"2022"	310	Not Applicable	Not Applicable
	"Baltimore County, MD"	"24005"	"2023 (provisional and partial)"	"2023"	87	Not Applicable	Not Applicable
	"Calvert County, MD"	"24009"	"2018"	"2018"	29	Not Applicable	Not Applicable
	"Calvert County, MD"	"24009"	"2019"	"2019"	27	Not Applicable	Not Applicable
	"Calvert County, MD"	"24009"	"2020"	"2020"	23	Not Applicable	Not Applicable
	"Calvert County, MD"	"24009"	"2021"	"2021"	24	Not Applicable	Not Applicable
	"Calvert County, MD"	"24009"	"2022 (provisional)"	"2022"	20	Not Applicable	Not Applicable
	"Calvert County, MD"	"24009"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Caroline County, MD"	"24011"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Caroline County, MD"	"24011"	"2019"	"2019"	13	Not Applicable	Not Applicable
	"Caroline County, MD"	"24011"	"2020"	"2020"	14	Not Applicable	Not Applicable
	"Caroline County, MD"	"24011"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Caroline County, MD"	"24011"	"2022 (provisional)"	"2022"	12	Not Applicable	Not Applicable
	"Caroline County, MD"	"24011"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Carroll County, MD"	"24013"	"2018"	"2018"	77	Not Applicable	Not Applicable
	"Carroll County, MD"	"24013"	"2019"	"2019"	60	Not Applicable	Not Applicable
	"Carroll County, MD"	"24013"	"2020"	"2020"	50	Not Applicable	Not Applicable
	"Carroll County, MD"	"24013"	"2021"	"2021"	63	Not Applicable	Not Applicable
	"Carroll County, MD"	"24013"	"2022 (provisional)"	"2022"	56	Not Applicable	Not Applicable
	"Carroll County, MD"	"24013"	"2023 (provisional and partial)"	"2023"	13	Not Applicable	Not Applicable
	"Cecil County, MD"	"24015"	"2018"	"2018"	57	Not Applicable	Not Applicable
	"Cecil County, MD"	"24015"	"2019"	"2019"	64	Not Applicable	Not Applicable
	"Cecil County, MD"	"24015"	"2020"	"2020"	93	Not Applicable	Not Applicable
	"Cecil County, MD"	"24015"	"2021"	"2021"	85	Not Applicable	Not Applicable
	"Cecil County, MD"	"24015"	"2022 (provisional)"	"2022"	85	Not Applicable	Not Applicable
	"Cecil County, MD"	"24015"	"2023 (provisional and partial)"	"2023"	17	Not Applicable	Not Applicable
	"Charles County, MD"	"24017"	"2018"	"2018"	25	Not Applicable	Not Applicable
	"Charles County, MD"	"24017"	"2019"	"2019"	30	Not Applicable	Not Applicable
	"Charles County, MD"	"24017"	"2020"	"2020"	50	Not Applicable	Not Applicable
	"Charles County, MD"	"24017"	"2021"	"2021"	31	Not Applicable	Not Applicable
	"Charles County, MD"	"24017"	"2022 (provisional)"	"2022"	61	Not Applicable	Not Applicable
	"Charles County, MD"	"24017"	"2023 (provisional and partial)"	"2023"	15	Not Applicable	Not Applicable
	"Dorchester County, MD"	"24019"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Dorchester County, MD"	"24019"	"2019"	"2019"	13	Not Applicable	Not Applicable
	"Dorchester County, MD"	"24019"	"2020"	"2020"	16	Not Applicable	Not Applicable
	"Dorchester County, MD"	"24019"	"2021"	"2021"	20	Not Applicable	Not Applicable
	"Dorchester County, MD"	"24019"	"2022 (provisional)"	"2022"	14	Not Applicable	Not Applicable
	"Dorchester County, MD"	"24019"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
