"Notes"	"Occurrence County"	"Occurrence County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Accomack County, VA"	"51001"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"2021"	"2021"	13	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Accomack County, VA"	"51001"	"2023 (provisional and partial)"	"2023"	Suppressed	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"2020"	"2020"	12	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"2021"	"2021"	13	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"2022 (provisional)"	"2022"	22	Not Applicable	Not Applicable
	"Albemarle County, VA"	"51003"	"2023 (provisional and partial)"	"2023"	10	Not Applicable	Not Applicable
	"Alleghany County, VA"	"51005"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Alleghany County, VA"	"51005"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Alleghany County, VA"	"51005"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Alleghany County, VA"	"51005"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Alleghany County, VA"	"51005"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Alleghany County, VA"	"51005"	"2023 (provisional and partial)"	"2023"	0	Not Applicable	Not Applicable
	"Amelia County, VA"	"51007"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Amelia County, VA"	"51007"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Amelia County, VA"	"51007"	"2020"	"2020"	Suppressed	Not Applicable	Not Applicable
	"Amelia County, VA"	"51007"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Amelia County, VA"	"51007"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
