State,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
TN,"Anderson County, TN",47001,2018,2018,32,76482,41.8
TN,"Anderson County, TN",47001,2019,2019,35,76978,45.5
TN,"Anderson County, TN",47001,2020,2020,63,77558,81.2
TN,"Anderson County, TN",47001,2021,2021,94,77576,121.2
TN,"Bedford County, TN",47003,2018,2018,11,49038,Unreliable
TN,"Bedford County, TN",47003,2019,2019,14,49713,Unreliable
TN,"Bedford County, TN",47003,2020,2020,16,50179,Unreliable
TN,"Bedford County, TN",47003,2021,2021,25,51119,48.9
TN,"Benton County, TN",47005,2018,2018,Suppressed,16184,Suppressed
TN,"Benton County, TN",47005,2019,2019,Suppressed,16160,Suppressed
TN,"Benton County, TN",47005,2020,2020,Suppressed,16131,Suppressed
TN,"Benton County, TN",47005,2021,2021,Suppressed,15872,Suppressed
TN,"Bledsoe County, TN",47007,2018,2018,Suppressed,14755,Suppressed
TN,"Bledsoe County, TN",47007,2019,2019,Suppressed,15064,Suppressed
TN,"Bledsoe County, TN",47007,2020,2020,0,15223,Unreliable
TN,"Bledsoe County, TN",47007,2021,2021,Suppressed,15234,Suppressed
TN,"Blount County, TN",47009,2018,2018,51,131349,38.8
TN,"Blount County, TN",47009,2019,2019,52,133088,39.1
TN,"Blount County, TN",47009,2020,2020,66,134751,49
TN,"Blount County, TN",47009,2021,2021,104,137605,75.6
TN,"Bradley County, TN",47011,2018,2018,32,106727,30
TN,"Bradley County, TN",47011,2019,2019,24,108110,22.2
TN,"Bradley County, TN",47011,2020,2020,41,109071,37.6
TN,"Bradley County, TN",47011,2021,2021,53,110162,48.1
TN,"Campbell County, TN",47013,2018,2018,12,39583,Unreliable
TN,"Campbell County, TN",47013,2019,2019,17,39842,Unreliable
TN,"Campbell County, TN",47013,2020,2020,22,39837,55.2
TN,"Campbell County, TN",47013,2021,2021,29,39578,73.3
TN,"Cannon County, TN",47015,2018,2018,Suppressed,14462,Suppressed
TN,"Cannon County, TN",47015,2019,2019,Suppressed,14678,Suppressed
TN,"Cannon County, TN",47015,2020,2020,10,14847,Unreliable
TN,"Cannon County, TN",47015,2021,2021,13,14553,Unreliable
TN,"Carroll County, TN",47017,2018,2018,Suppressed,28020,Suppressed
TN,"Carroll County, TN",47017,2019,2019,Suppressed,27767,Suppressed
TN,"Carroll County, TN",47017,2020,2020,Suppressed,27779,Suppressed
TN,"Carroll County, TN",47017,2021,2021,Suppressed,28432,Suppressed
TN,"Carter County, TN",47019,2018,2018,21,56351,37.3
TN,"Carter County, TN",47019,2019,2019,16,56391,Unreliable
TN,"Carter County, TN",47019,2020,2020,16,56418,Unreliable
TN,"Carter County, TN",47019,2021,2021,28,56134,49.9
TN,"Cheatham County, TN",47021,2018,2018,23,40439,56.9
TN,"Cheatham County, TN",47021,2019,2019,28,40667,68.9
TN,"Cheatham County, TN",47021,2020,2020,41,41101,99.8
TN,"Cheatham County, TN",47021,2021,2021,32,41523,77.1
TN,"Chester County, TN",47023,2018,2018,Suppressed,17276,Suppressed
TN,"Chester County, TN",47023,2019,2019,Suppressed,17297,Suppressed
TN,"Chester County, TN",47023,2020,2020,Suppressed,17432,Suppressed
TN,"Chester County, TN",47023,2021,2021,Suppressed,17504,Suppressed
TN,"Claiborne County, TN",47025,2018,2018,18,31756,Unreliable
TN,"Claiborne County, TN",47025,2019,2019,Suppressed,31959,Suppressed
TN,"Claiborne County, TN",47025,2020,2020,22,32023,68.7
TN,"Claiborne County, TN",47025,2021,2021,10,32267,Unreliable
TN,"Clay County, TN",47027,2018,2018,Suppressed,7717,Suppressed
TN,"Clay County, TN",47027,2019,2019,Suppressed,7615,Suppressed
TN,"Clay County, TN",47027,2020,2020,Suppressed,7629,Suppressed
TN,"Clay County, TN",47027,2021,2021,Suppressed,7555,Suppressed
TN,"Cocke County, TN",47029,2018,2018,11,35774,Unreliable
TN,"Cocke County, TN",47029,2019,2019,Suppressed,36004,Suppressed
TN,"Cocke County, TN",47029,2020,2020,14,36225,Unreliable
TN,"Cocke County, TN",47029,2021,2021,32,36418,87.9
TN,"Coffee County, TN",47031,2018,2018,19,55700,Unreliable
TN,"Coffee County, TN",47031,2019,2019,15,56520,Unreliable
TN,"Coffee County, TN",47031,2020,2020,18,57632,Unreliable
TN,"Coffee County, TN",47031,2021,2021,26,59032,44
TN,"Crockett County, TN",47033,2018,2018,Suppressed,14328,Suppressed
TN,"Crockett County, TN",47033,2019,2019,Suppressed,14230,Suppressed
TN,"Crockett County, TN",47033,2020,2020,0,14180,Unreliable
TN,"Crockett County, TN",47033,2021,2021,Suppressed,13979,Suppressed
TN,"Cumberland County, TN",47035,2018,2018,16,59673,Unreliable
TN,"Cumberland County, TN",47035,2019,2019,15,60520,Unreliable
TN,"Cumberland County, TN",47035,2020,2020,12,61603,Unreliable
TN,"Cumberland County, TN",47035,2021,2021,49,62451,78.5
TN,"Davidson County, TN",47037,2018,2018,248,692587,35.8
TN,"Davidson County, TN",47037,2019,2019,342,694144,49.3
TN,"Davidson County, TN",47037,2020,2020,448,694176,64.5
TN,"Davidson County, TN",47037,2021,2021,549,703953,78
TN,"Decatur County, TN",47039,2018,2018,Suppressed,11706,Suppressed
TN,"Decatur County, TN",47039,2019,2019,Suppressed,11663,Suppressed
TN,"Decatur County, TN",47039,2020,2020,Suppressed,11601,Suppressed
TN,"Decatur County, TN",47039,2021,2021,Suppressed,11391,Suppressed
TN,"DeKalb County, TN",47041,2018,2018,Suppressed,20138,Suppressed
TN,"DeKalb County, TN",47041,2019,2019,Suppressed,20490,Suppressed
TN,"DeKalb County, TN",47041,2020,2020,16,20837,Unreliable
TN,"DeKalb County, TN",47041,2021,2021,20,20478,97.7
TN,"Dickson County, TN",47043,2018,2018,16,53446,Unreliable
TN,"Dickson County, TN",47043,2019,2019,27,53948,50
TN,"Dickson County, TN",47043,2020,2020,34,54376,62.5
TN,"Dickson County, TN",47043,2021,2021,41,55292,74.2
TN,"Dyer County, TN",47045,2018,2018,Suppressed,37320,Suppressed
TN,"Dyer County, TN",47045,2019,2019,11,37159,Unreliable
TN,"Dyer County, TN",47045,2020,2020,11,36693,Unreliable
TN,"Dyer County, TN",47045,2021,2021,12,36615,Unreliable
TN,"Fayette County, TN",47047,2018,2018,Suppressed,40507,Suppressed
