State,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
WV,"Barbour County, WV",54001,2018,2018,Suppressed,16535,Suppressed
WV,"Barbour County, WV",54001,2019,2019,Suppressed,16441,Suppressed
WV,"Barbour County, WV",54001,2020,2020,Suppressed,16444,Suppressed
WV,"Barbour County, WV",54001,2021,2021,Suppressed,15468,Suppressed
WV,"Berkeley County, WV",54003,2018,2018,68,117123,58.1
WV,"Berkeley County, WV",54003,2019,2019,60,119171,50.3
WV,"Berkeley County, WV",54003,2020,2020,112,122125,91.7
WV,"Berkeley County, WV",54003,2021,2021,92,126069,73
WV,"Boone County, WV",54005,2018,2018,24,21951,109.3
WV,"Boone County, WV",54005,2019,2019,12,21457,Unreliable
WV,"Boone County, WV",54005,2020,2020,24,21055,114
WV,"Boone County, WV",54005,2021,2021,23,21312,107.9
WV,"Braxton County, WV",54007,2018,2018,Suppressed,14089,Suppressed
WV,"Braxton County, WV",54007,2019,2019,Suppressed,13957,Suppressed
WV,"Braxton County, WV",54007,2020,2020,Suppressed,13702,Suppressed
WV,"Braxton County, WV",54007,2021,2021,13,12247,Unreliable
WV,"Brooke County, WV",54009,2018,2018,Suppressed,22203,Suppressed
WV,"Brooke County, WV",54009,2019,2019,Suppressed,21939,Suppressed
WV,"Brooke County, WV",54009,2020,2020,12,21674,Unreliable
WV,"Brooke County, WV",54009,2021,2021,19,22140,Unreliable
WV,"Cabell County, WV",54011,2018,2018,130,93224,139.4
WV,"Cabell County, WV",54011,2019,2019,105,91945,114.2
WV,"Cabell County, WV",54011,2020,2020,126,91589,137.6
WV,"Cabell County, WV",54011,2021,2021,134,93418,143.4
WV,"Calhoun County, WV",54013,2018,2018,Suppressed,7254,Suppressed
WV,"Calhoun County, WV",54013,2019,2019,0,7109,Unreliable
WV,"Calhoun County, WV",54013,2020,2020,Suppressed,6945,Suppressed
WV,"Calhoun County, WV",54013,2021,2021,Suppressed,6176,Suppressed
WV,"Clay County, WV",54015,2018,2018,Suppressed,8632,Suppressed
WV,"Clay County, WV",54015,2019,2019,Suppressed,8508,Suppressed
WV,"Clay County, WV",54015,2020,2020,Suppressed,8341,Suppressed
WV,"Clay County, WV",54015,2021,2021,Suppressed,7892,Suppressed
WV,"Doddridge County, WV",54017,2018,2018,Suppressed,8406,Suppressed
WV,"Doddridge County, WV",54017,2019,2019,Suppressed,8448,Suppressed
WV,"Doddridge County, WV",54017,2020,2020,Suppressed,8368,Suppressed
WV,"Doddridge County, WV",54017,2021,2021,Suppressed,7735,Suppressed
WV,"Fayette County, WV",54019,2018,2018,24,43018,55.8
WV,"Fayette County, WV",54019,2019,2019,31,42406,73.1
WV,"Fayette County, WV",54019,2020,2020,34,42062,80.8
WV,"Fayette County, WV",54019,2021,2021,44,39927,110.2
WV,"Gilmer County, WV",54021,2018,2018,Suppressed,8026,Suppressed
WV,"Gilmer County, WV",54021,2019,2019,Suppressed,7823,Suppressed
WV,"Gilmer County, WV",54021,2020,2020,Suppressed,7811,Suppressed
WV,"Gilmer County, WV",54021,2021,2021,0,7377,Unreliable
WV,"Grant County, WV",54023,2018,2018,Suppressed,11626,Suppressed
WV,"Grant County, WV",54023,2019,2019,Suppressed,11568,Suppressed
WV,"Grant County, WV",54023,2020,2020,Suppressed,11510,Suppressed
WV,"Grant County, WV",54023,2021,2021,Suppressed,10983,Suppressed
WV,"Greenbrier County, WV",54025,2018,2018,13,34786,Unreliable
WV,"Greenbrier County, WV",54025,2019,2019,12,34662,Unreliable
WV,"Greenbrier County, WV",54025,2020,2020,26,34319,75.8
WV,"Greenbrier County, WV",54025,2021,2021,30,32608,92
WV,"Hampshire County, WV",54027,2018,2018,15,23347,Unreliable
WV,"Hampshire County, WV",54027,2019,2019,18,23175,Unreliable
WV,"Hampshire County, WV",54027,2020,2020,17,23190,Unreliable
WV,"Hampshire County, WV",54027,2021,2021,14,23302,Unreliable
WV,"Hancock County, WV",54029,2018,2018,12,29094,Unreliable
WV,"Hancock County, WV",54029,2019,2019,22,28810,76.4
WV,"Hancock County, WV",54029,2020,2020,18,28571,Unreliable
WV,"Hancock County, WV",54029,2021,2021,17,28656,Unreliable
WV,"Hardy County, WV",54031,2018,2018,Suppressed,13775,Suppressed
WV,"Hardy County, WV",54031,2019,2019,Suppressed,13776,Suppressed
WV,"Hardy County, WV",54031,2020,2020,10,13633,Unreliable
WV,"Hardy County, WV",54031,2021,2021,Suppressed,14160,Suppressed
WV,"Harrison County, WV",54033,2018,2018,21,67554,31.1
WV,"Harrison County, WV",54033,2019,2019,30,67256,44.6
WV,"Harrison County, WV",54033,2020,2020,40,66870,59.8
WV,"Harrison County, WV",54033,2021,2021,42,65158,64.5
WV,"Jackson County, WV",54035,2018,2018,Suppressed,28706,Suppressed
WV,"Jackson County, WV",54035,2019,2019,Suppressed,28576,Suppressed
WV,"Jackson County, WV",54035,2020,2020,10,28453,Unreliable
WV,"Jackson County, WV",54035,2021,2021,16,27738,Unreliable
WV,"Jefferson County, WV",54037,2018,2018,25,56811,44
WV,"Jefferson County, WV",54037,2019,2019,28,57146,49
WV,"Jefferson County, WV",54037,2020,2020,33,57486,57.4
WV,"Jefferson County, WV",54037,2021,2021,29,58370,49.7
WV,"Kanawha County, WV",54039,2018,2018,131,180454,72.6
WV,"Kanawha County, WV",54039,2019,2019,149,178124,83.6
WV,"Kanawha County, WV",54039,2020,2020,194,176253,110.1
WV,"Kanawha County, WV",54039,2021,2021,209,177952,117.4
WV,"Lewis County, WV",54041,2018,2018,Suppressed,16024,Suppressed
WV,"Lewis County, WV",54041,2019,2019,Suppressed,15907,Suppressed
WV,"Lewis County, WV",54041,2020,2020,Suppressed,15805,Suppressed
WV,"Lewis County, WV",54041,2021,2021,13,16892,Unreliable
WV,"Lincoln County, WV",54043,2018,2018,12,20599,Unreliable
WV,"Lincoln County, WV",54043,2019,2019,13,20409,Unreliable
WV,"Lincoln County, WV",54043,2020,2020,19,20043,Unreliable
WV,"Lincoln County, WV",54043,2021,2021,22,20126,109.3
WV,"Logan County, WV",54045,2018,2018,21,32607,64.4
WV,"Logan County, WV",54045,2019,2019,31,32019,96.8
WV,"Logan County, WV",54045,2020,2020,49,31688,154.6
WV,"Logan County, WV",54045,2021,2021,69,31909,216.2
WV,"McDowell County, WV",54047,2018,2018,17,18223,Unreliable
WV,"McDowell County, WV",54047,2019,2019,Suppressed,17624,Suppressed
WV,"McDowell County, WV",54047,2020,2020,29,16916,171.4
WV,"McDowell County, WV",54047,2021,2021,39,18363,212.4
WV,"Marion County, WV",54049,2018,2018,18,56097,Unreliable
WV,"Marion County, WV",54049,2019,2019,24,56072,42.8
WV,"Marion County, WV",54049,2020,2020,37,55962,66.1
WV,"Marion County, WV",54049,2021,2021,35,56001,62.5
WV,"Marshall County, WV",54051,2018,2018,Suppressed,30785,Suppressed
WV,"Marshall County, WV",54051,2019,2019,Suppressed,30531,Suppressed
WV,"Marshall County, WV",54051,2020,2020,17,30103,Unreliable
