State,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
WY,"Albany County, WY",56001,2018,2018,Suppressed,38601,Suppressed
WY,"Albany County, WY",56001,2019,2019,Suppressed,38880,Suppressed
WY,"Albany County, WY",56001,2020,2020,Suppressed,38950,Suppressed
WY,"Albany County, WY",56001,2021,2021,Suppressed,37608,Suppressed
WY,"Big Horn County, WY",56003,2018,2018,Suppressed,11881,Suppressed
WY,"Big Horn County, WY",56003,2019,2019,Suppressed,11790,Suppressed
WY,"Big Horn County, WY",56003,2020,2020,Suppressed,11575,Suppressed
WY,"Big Horn County, WY",56003,2021,2021,Suppressed,11632,Suppressed
WY,"Campbell County, WY",56005,2018,2018,Suppressed,46140,Suppressed
WY,"Campbell County, WY",56005,2019,2019,Suppressed,46341,Suppressed
WY,"Campbell County, WY",56005,2020,2020,Suppressed,46676,Suppressed
WY,"Campbell County, WY",56005,2021,2021,Suppressed,46401,Suppressed
WY,"Carbon County, WY",56007,2018,2018,Suppressed,14971,Suppressed
WY,"Carbon County, WY",56007,2019,2019,Suppressed,14800,Suppressed
WY,"Carbon County, WY",56007,2020,2020,Suppressed,14711,Suppressed
WY,"Carbon County, WY",56007,2021,2021,Suppressed,14649,Suppressed
WY,"Converse County, WY",56009,2018,2018,Suppressed,13640,Suppressed
WY,"Converse County, WY",56009,2019,2019,0,13822,Unreliable
WY,"Converse County, WY",56009,2020,2020,Suppressed,13804,Suppressed
WY,"Converse County, WY",56009,2021,2021,Suppressed,13672,Suppressed
WY,"Crook County, WY",56011,2018,2018,0,7450,Unreliable
WY,"Crook County, WY",56011,2019,2019,0,7584,Unreliable
WY,"Crook County, WY",56011,2020,2020,0,7593,Unreliable
WY,"Crook County, WY",56011,2021,2021,0,7315,Unreliable
WY,"Fremont County, WY",56013,2018,2018,Suppressed,39531,Suppressed
WY,"Fremont County, WY",56013,2019,2019,11,39261,Unreliable
WY,"Fremont County, WY",56013,2020,2020,10,39317,Unreliable
WY,"Fremont County, WY",56013,2021,2021,25,39336,63.6
WY,"Goshen County, WY",56015,2018,2018,Suppressed,13376,Suppressed
WY,"Goshen County, WY",56015,2019,2019,Suppressed,13211,Suppressed
WY,"Goshen County, WY",56015,2020,2020,Suppressed,13235,Suppressed
WY,"Goshen County, WY",56015,2021,2021,0,12537,Unreliable
WY,"Hot Springs County, WY",56017,2018,2018,0,4555,Unreliable
WY,"Hot Springs County, WY",56017,2019,2019,0,4413,Unreliable
WY,"Hot Springs County, WY",56017,2020,2020,Suppressed,4425,Suppressed
WY,"Hot Springs County, WY",56017,2021,2021,Suppressed,4597,Suppressed
WY,"Johnson County, WY",56019,2018,2018,0,8460,Unreliable
WY,"Johnson County, WY",56019,2019,2019,Suppressed,8445,Suppressed
WY,"Johnson County, WY",56019,2020,2020,Suppressed,8588,Suppressed
WY,"Johnson County, WY",56019,2021,2021,Suppressed,8623,Suppressed
